RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
23496,Brooklyn,2016,6,12,18,0,351,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,12,18,15,401,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,12,18,30,377,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,12,18,45,374,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,13,15,0,347,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
32956,Brooklyn,2021,6,19,15,0,269,9009362,POINT (984599.217812904 183946.81854600026),HAMILTON AVENUE BRIDGE,Gowanus Creek Shoreline,Dead end,SB
32956,Brooklyn,2021,6,19,15,15,298,9009362,POINT (984599.217812904 183946.81854600026),HAMILTON AVENUE BRIDGE,Gowanus Creek Shoreline,Dead end,SB
32956,Brooklyn,2021,6,19,15,30,279,9009362,POINT (984599.217812904 183946.81854600026),HAMILTON AVENUE BRIDGE,Gowanus Creek Shoreline,Dead end,SB
32956,Brooklyn,2021,6,19,15,45,251,9009362,POINT (984599.217812904 183946.81854600026),HAMILTON AVENUE BRIDGE,Gowanus Creek Shoreline,Dead end,SB
32956,Brooklyn,2021,6,19,16,0,246,9009362,POINT (984599.217812904 183946.81854600026),HAMILTON AVENUE BRIDGE,Gowanus Creek Shoreline,Dead end,SB
32956,Brooklyn,2021,6,19,16,15,269,9009362,POINT (984599.217812904 183946.81854600026),HAMILTON AVENUE BRIDGE,Gowanus Creek Shoreline,Dead end,SB
32956,Brooklyn,2021,6,19,16,30,280,9009362,POINT (984599.217812904 183946.81854600026),HAMILTON AVENUE BRIDGE,Gowanus Creek Shoreline,Dead end,SB
32956,Brooklyn,2021,6,19,16,45,219,9009362,POINT (984599.217812904 183946.81854600026),HAMILTON AVENUE BRIDGE,Gowanus Creek Shoreline,Dead end,SB
32956,Brooklyn,2021,6,19,18,0,256,9009362,POINT (984599.217812904 183946.81854600026),HAMILTON AVENUE BRIDGE,Gowanus Creek Shoreline,Dead end,SB
32956,Brooklyn,2021,6,19,18,15,192,9009362,POINT (984599.217812904 183946.81854600026),HAMILTON AVENUE BRIDGE,Gowanus Creek Shoreline,Dead end,SB
32956,Brooklyn,2021,6,19,18,30,182,9009362,POINT (984599.217812904 183946.81854600026),HAMILTON AVENUE BRIDGE,Gowanus Creek Shoreline,Dead end,SB
32956,Brooklyn,2021,6,19,18,45,216,9009362,POINT (984599.217812904 183946.81854600026),HAMILTON AVENUE BRIDGE,Gowanus Creek Shoreline,Dead end,SB
23496,Brooklyn,2016,6,17,15,0,473,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,17,15,15,480,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,17,15,30,467,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,17,15,45,477,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,17,16,0,450,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,17,16,15,538,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,17,16,30,467,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,17,16,45,497,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,17,18,0,460,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,17,18,15,509,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,17,18,30,467,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,17,18,45,522,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
35477,Brooklyn,2022,8,17,15,0,225,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,17,15,15,185,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,17,15,30,174,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,17,15,45,177,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,17,16,0,166,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,17,16,15,164,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,17,16,30,160,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,17,16,45,156,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,17,18,0,181,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,17,18,15,184,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,17,18,30,158,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,17,18,45,187,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,25,15,0,202,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,25,15,15,200,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,25,15,30,151,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,25,15,45,186,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,25,16,0,212,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,25,16,15,213,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,25,16,30,200,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,25,16,45,165,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,25,18,0,194,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,25,18,15,209,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,25,18,30,216,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,25,18,45,189,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,26,15,0,304,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,26,15,15,250,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,26,15,30,163,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,26,15,45,174,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,26,16,0,169,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,26,16,15,171,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,26,16,30,155,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,26,16,45,178,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,26,18,0,220,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,26,18,15,235,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,26,18,30,215,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,26,18,45,225,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
35477,Brooklyn,2022,8,27,15,0,181,157501,POINT (988139.0101471207 151150.7898290525),CROPSEY AVENUE BRIDGE,Cropsey Avenue,Dead end,SB
34090,Brooklyn,2021,8,16,15,0,238,157540,POINT (987607.0474906847 192870.48415162275),TILLARY STREET,Adams Street,8 Avenue Line,EB
34090,Brooklyn,2021,8,16,15,15,255,157540,POINT (987607.0474906847 192870.48415162275),TILLARY STREET,Adams Street,8 Avenue Line,EB
